FIPS,ST,County,"Dollar difference for 27 year old with $20,000 income","Dollar difference for 27 year old with $30,000 income","Dollar difference for 27 year old with $40,000 income","Dollar difference for 27 year old with $50,000 income","Dollar difference for 27 year old with $75,000 income","Dollar difference for 27 year old with $100,000 income","Dollar difference for 40 year old with $20,000 income","Dollar difference for 40 year old with $30,000 income","Dollar difference for 40 year old with $40,000 income","Dollar difference for 40 year old with $50,000 income","Dollar difference for 40 year old with $75,000 income","Dollar difference for 40 year old with $100,000 income","Dollar difference for 60 year old with $20,000 income","Dollar difference for 60 year old with $30,000 income","Dollar difference for 60 year old with $40,000 income","Dollar difference for 60 year old with $50,000 income","Dollar difference for 60 year old with $75,000 income","Dollar difference for 60 year old with $100,000 income",Population,RUCC_2013,trump_votecount,trump_votepct,clinton_votecount,clinton_votepct,johnson_votecount,johnson_votepct,stein_votecount,stein_votepct,mcmullin_votecount,mcmullin_votepct,other_votecount,other_votepct
01001,AL,Autauga,-2410,-890,710,1730,2000,False,-2590,-1060,540,1560,3000,500,-8940,-7420,-5820,-4800,4000,1500,55221.0,2.0,18110,0.73436,5908,0.23957,538,0.02182,105,0.00426,0,0,0,0
01003,AL,Baldwin,-2240,-710,880,1900,2000,False,-2380,-860,740,1760,3000,500,-8500,-6970,-5380,-4360,4000,1500,203709.0,3.0,72780,0.77352,18409,0.19565,2448,0.02602,453,0.00482,0,0,0,0
01005,AL,Barbour,-2240,-710,880,1900,2000,False,-2380,-860,740,1760,3000,500,-8500,-6970,-5380,-4360,4000,1500,26932.0,6.0,5431,0.52271,4848,0.4666,93,0.00895,18,0.00173,0,0,0,0
01007,AL,Bibb,-2750,-1230,370,1390,2000,False,-3000,-1480,120,1140,3000,500,-9830,-8310,-6710,-5690,4000,1500,22604.0,1.0,6733,0.76966,1874,0.21422,124,0.01418,17,0.00194,0,0,0,0
01009,AL,Blount,-2750,-1230,370,1390,2000,False,-3000,-1480,120,1140,3000,500,-9830,-8310,-6710,-5690,4000,1500,57710.0,1.0,22808,0.89852,2150,0.0847,337,0.01328,89,0.00351,0,0,0,0
01011,AL,Bullock,-2240,-710,880,1900,2000,False,-2380,-860,740,1760,3000,500,-8500,-6970,-5380,-4360,4000,1500,10678.0,6.0,1139,0.24229,3530,0.7509,22,0.00468,10,0.00213,0,0,0,0
01013,AL,Butler,-2240,-710,880,1900,2000,False,-2380,-860,740,1760,3000,500,-8500,-6970,-5380,-4360,4000,1500,20354.0,6.0,4891,0.56316,3716,0.42786,65,0.00748,13,0.0015,0,0,0,0
01015,AL,Calhoun,-2410,-890,710,1730,2000,False,-2590,-1060,540,1560,3000,500,-8940,-7420,-5820,-4800,4000,1500,115620.0,3.0,32803,0.6924,13197,0.27856,1114,0.02351,262,0.00553,0,0,0,0
01017,AL,Chambers,-2240,-710,880,1900,2000,False,-2380,-860,740,1760,3000,500,-8500,-6970,-5380,-4360,4000,1500,34079.0,6.0,7803,0.56634,5763,0.41828,168,0.01219,44,0.00319,0,0,0,0
01019,AL,Cherokee,-2240,-710,880,1900,2000,False,-2380,-860,740,1760,3000,500,-8500,-6970,-5380,-4360,4000,1500,26008.0,6.0,8809,0.83871,1524,0.1451,145,0.01381,25,0.00238,0,0,0,0
